hotel_name,fixed_price,recomendation,jr_station
Randor Hotel Hiroshima Prestige,2094,9.1,Hiroshima
APA Hotel Higashi-Shinjuku Kabukicho Higashi,2799,8,Shinjuku
R&B Hotel Shinyokohamaekimae,2571,6.9,Yokohama
Lazy House,3624,7.6,Okayama
ESLEAD HOTEL Osaka Tsuruhashi,2592,9,Osaka
Richmond Hotel Premier Kyoto Ekimae,5605,9.1,Kyoto
Toyoko Inn Shin-fuji-eki Minami-guchi,2046,8.2,Fuji
Tottori Guest House Miraie BASE,1558,8.5,Tottori
Matsue Urban Hotel Lake Inn,1361,6.8,Matsue
Hotel Capsule Inn Shizuoka,780,8.5,Shizuoka
Kyukamura Kishukada,4067,8.3,Wakayama
Katsuragi Ryokan,3481,8.8,Shizuoka
Hotel Livemax Kobe-Sannomiya,4733,7.1,Kobe
Shin Yokohama Prince Hotel,9309,8.1,Yokohama
Hara Business Ryokan,1979,8.8,Wakayama
KURETAKE INN Gotemba Kogen,3836,8.4,Shizuoka
APA Hotel & Resort Roppongi Ekihigashi,2587,8.6,Tokyo
ORDA HOTEL,5385,8.1,Chiba
Hoseikan Hotel,5784,7.6,Matsue
Kawasaki Nikko Hotel,4198,8.4,Yokohama
The Peak Tengachaya,2160,8.6,Osaka
Acro Capsule Hotel Namba Dotonbori,696,9.2,Osaka
Super Hotel Tottori Ekimae,1754,8.3,Tottori
hotel Amanek Kyoto Kawaramachi Gojo,1974,8.5,Kyoto
UNO HOTEL,3999,9.1,Okayama
Itoen Hotel Izukogen Main,4648,8.4,Shizuoka
InterContinental Yokohama Grand,13789,8.6,Yokohama
Sotetsu Grand Fresa Osaka Namba,2000,8.5,Osaka
Hotel Granvia Okayama,3320,8.9,Okayama
one night one view one destiny ichihara,3301,6.5,Chiba
Ariston Hotel Kobe,1630,7.5,Kobe
APA Hotel Namba Kita Shinsaibashi Ekimae,2020,8.2,Osaka
Richmond Hotel premier KYOTO SHIJO,9412,9,Kyoto
Hotel En Michi,4541,8.6,Yokohama
Hotel Okura Kuibu Inn,3260,8,Shizuoka
Yukeikohan Suitenkaku,4422,7.6,Matsue
The OneFive Okayama - Vacation STAY 41846v,3047,10,Okayama
VIA INN PRIME HIROSHIMA SHINKANSENGUCHI - JR WEST GROUP,6144,8.7,Hiroshima
APA Hotel Hiroshima-Ekimae Ohashi,8466,8.3,Hiroshima
APA Hotel TKP Nippori Ekimae,2463,8.6,Tokyo
Wakayama Dai-ni Fuji Hotel,1017,7.4,Wakayama
ANA Crowne Plaza Kobe,7857,8.2,Kobe
Hotel The M's Kyoto,8939,9,Kyoto
SPa Resort Hawaiians Koriyama (HTL 9 Motel),6786,7.7,Shizuoka
Bay Side Square Kaike Hotel,2222,8.5,Yonago
APA Hotel Okayamaekimae,6602,7.7,Okayama
Bon Condominium Umeda,5365,8.5,Osaka
Ryokan Nishi-no-Miyabi Tokiwa,5846,7.5,Yamaguchi
MASCOS HOTEL Masuda Onsen,3347,8.9,Masuda
IZU KUMAMOTO TWIN SUNRISE,2926,8.7,Shizuoka
Candeo Hotels Shimada,1488,7.9,Shizuoka
APA Hotel Tottori-Ekimae,5998,8.1,Tottori
PARK RESORT AOI (PARK RESORT AOI),1895,8.3,Shizuoka
Village Izukogen,5442,8.4,Shizuoka
Kobe Luminous Hotel Sannomiya,5023,8.5,Kobe
Hotel Hanshin Osaka,7582,8.4,Osaka
Ikkenya Tsushima,2253,8.8,Okayama
Hotel Flex Hiroshima,3618,8.1,Hiroshima
Mitsui Garden Hotel Chiba,4007,8.3,Chiba
Hotel Furuiya Ryokan,1789,7,Fuji
IZU KUMAMOTO GUEST VILLA,3343,8.7,Shizuoka
Shogetsu,9693,9.1,Yonago
Wakayama Kada Hot Spring Kada Kaigetsu,10946,8.1,Wakayama
Hotel Fine Tottori Sakyu (Adult Only),1323,7.1,Tottori
Ryotei Yamanoi Hotel,5478,7.8,Matsue
Sea View Court Kobe Apartment,5359,8.7,Kobe
LIBER HOTEL AT UNIVERSAL STUDIO JAPAN,2800,9.1,Osaka
Sotetsu Fresa Inn Nihombashi-Kayabacho,5967,8.5,Tokyo
COCORETO Daikon Island,2533,9.4,Matsue
Seikoen Shizuoka,2659,8.7,Shizuoka
Hotel Landmark Wakayama,2289,8.2,Wakayama
Ueno Hotel,2240,7.7,Tokyo
Hotel Bijou (Adult Only),2877,7.8,Okayama
IZUKOGEN ONSEN ITOEN HOTEL,2385,7.9,Shizuoka
Hotel Avalorm Kinokuni,2121,8.1,Wakayama
Fujimi Ryokan,2250,7.8,Fuji
THE KANZASHI TOKYO ASAKUSA,2618,8.7,Tokyo
HOTEL OLE INN,2517,8.7,Shizuoka
Regariain - Vacation STAY 85012,7239,6.8,Okayama
HOTEL MYSTAYS Hiroshima Peace Park,6091,8.1,Hiroshima
Urban Hotel Kyoto-Nijo Premium,8232,8.4,Kyoto
APA Hotel Shin-Osaka ekimae,8414,8.5,Osaka
Guesthouse Rico,1871,8.8,Wakayama
HOTEL MYSTAYS Yokohama,5488,7.8,Yokohama
APA Hotel Chiba Ekimae,1807,8.3,Chiba
HOTEL LiVEMAX Hiroshima Peace Park Mae,6603,7.7,Hiroshima
Hotel New Tanaka,2515,8.2,Yamaguchi
Hotel Super Tomari,1322,8.7,Shizuoka
Hiroshima Garden Palace,1982,7.7,Hiroshima
APA HOTEL Shinjuku Kabukicho Chuo,3531,8.1,Shinjuku
Ou Hotel,1999,8.1,Yonago
2023Nishitetsu Inn Shinjuku,5669,8.3,Shinjuku
